,Code,IES_name,Number_employees
86,26261 ,UNIVERSIDADE FEDERAL DE ITAJUBA ,978
87,26237 ,UNIVERSIDADE FEDERAL DE JUIZ DE FORA ,3595
88,26263 ,UNIVERSIDADE FEDERAL DE LAVRAS ,1333
89,26276 ,UNIVERSIDADE FEDERAL DE MATO GROSSO ,3893
90,26238 ,UNIVERSIDADE FEDERAL DE MINAS GERAIS ,8310
91,26242 ,UNIVERSIDADE FEDERAL DE PERNAMBUCO ,7339
92,26250 ,UNIVERSIDADE FEDERAL DE RORAIMA ,1157
93,26246 ,UNIVERSIDADE FEDERAL DE SANTA CATARINA ,6114
94,26247 ,UNIVERSIDADE FEDERAL DE SANTA MARIA ,5017
95,26280 ,UNIVERSIDADE FEDERAL DE SAO CARLOS ,2373
96,26262 ,UNIVERSIDADE FEDERAL DE SAO PAULO ,7213
97,26282 ,UNIVERSIDADE FEDERAL DE VICOSA ,3701
98,26275 ,UNIVERSIDADE FEDERAL DO ACRE ,1717
99,26449 ,UNIVERSIDADE FEDERAL DO CARIRI ,1
100,26233 ,UNIVERSIDADE FEDERAL DO CEARA ,6645
101,26234 ,UNIVERSIDADE FEDERAL DO ESPIRITO SANTO ,4248
102,26447 ,UNIVERSIDADE FEDERAL DO OESTE DA BAHIA ,532
103,26441 ,UNIVERSIDADE FEDERAL DO OESTE DO PARA ,1002
104,26239 ,UNIVERSIDADE FEDERAL DO PARA ,5728
105,26241 ,UNIVERSIDADE FEDERAL DO PARANA ,6882
106,26279 ,UNIVERSIDADE FEDERAL DO PIAUI ,3496
107,26245 ,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO ,14973
108,26273 ,UNIVERSIDADE FEDERAL DO RIO GRANDE ,2110
109,26450 ,UNIVERSIDADE FEDERAL DO SUL DA BAHIA ,418
110,26236 ,UNIVERSIDADE FEDERAL FLUMINENSE ,8009
111,26253 ,UNIVERSIDADE FEDERAL RURAL DA AMAZONIA ,1052
112,26248 ,UNIVERSIDADE FEDERAL RURAL DE PERNAMBUCO ,2461
